nom,leonoreid,bnfids
Charles Cotard,LH/600/25,15307249z
Charles Le Myre de Vilers,LH/1585/78,12982174z
Charles Magnin,LH/1687/23,126225927
Charles Mortet,LH/1943/54,12738146s
Charles Noël,LH/1996/14,15681678c
Charles Paulus Belanger,LH/166/32,12562973q
Charles Régismanset,LH/2277/46,12127130x
Charles Suisse,LH/2557/47,17133472m
Charles Welche,LH/2753/20,10382549j
Claude-Marius Vaïsse,LH/2661/71,15557309c
Claude Charles Aubry de La Boucharderie,LH/69/22,16297200f
Claude Dellys,LH/714/71,13607785f
Claude François Falsan,LH/930/1,10393972m
Claude Ramey,LH/2263/65,149259549
Jules Bernard Luys,LH/1678/61,13482362s
Constant Moyaux,LH/1961/7,10407965m
Constantin-Marie-Louis-Léon de Bouthillier-Chavigny,LH/339/81,10732912z
Daniel Lescallier,LH/1612/27,125288972
Denis Louis Martial Avenel,LH/80/36,134984454
Dominique Frassati,LH/1030/57,160243575
Dominique Lacombe,LH/1424/42,12525246s
Désiré Georges Jean Marie Bois,19800035/241/32047,11892571x
Edme Louis Barthélemy Bailly de Juilly,LH/94/3,16908653q
Edme Régnier,LH/2286/24,10287080b
Edmond Bogros,LH/267/31,11892545c
Edmond Caron,LH/431/64,130090509
Edmond Buat,LH/387/14,129975138
Edmond Fuchs,LH/1044/42,153434032
Edmond Got,LH/1171/61,13013165c
Édouard Cahen,LH/404/35,10464670w
Emmanuel Brune,LH/381/49,10344919c
Ernest André,LH/34/13,155733043
Ernest Chantre,LH/481/59,12198207c
Ernest François Dainville,LH/647/67,12512438s
Ernest Ginsburger,19800035/803/91071,12923245n
Ernest Raynaud,LH/2274/40,12301892w
Eugène-Anne-Adolphe de Boyer de Castanet de Tauriac,LH/2572/21,17070315f
Louis-Eugène Hauvette-Besnault,LH/1273/6,12612264z
Eugène Antoine François Merlin,LH/1839/65,10709201f
Eugène Azam,LH/84/13,12460016r
Eugène Cavaignac,19800035/998/15448,12300862q
Eugène Darcy,LH/659/22,12219444w
Eugène Duflot de Mofras,LH/832/42,150786346
Eugène Grébaut,LH/1194/70,13498855j
Eugène Hatin,LH/1270/55,12276850f
Eugène Lintilhac,LH/1643/68,128154548
Eugène Paz,LH/2076/46,13482416w
Eugène Rolland,LH/2372/3,10736839p
Eugène Rostand,LH/2386/14,124261170
Eugène Rousseau,LH/2400/61,12075312x | 16767588r
Eugène Vaillé,19800035/297/39989,10703500g
Eugène Woillez,LH/2761/7,13166466g
Eustase Thomas-Salignac,19800035/1306/50944,11302789t | 148473113
Faustin Besson,LH/224/60,145670862 | 14952400w
Faustino Malaguti,LH/1701/50,12497625p
Camille Dreyfus,LH/803/63,124627312
Ferdinand-Camille Dreyfus,LH/803/63,124627312
Ferdinand Ferber,LH/956/25,12137924d
Ferdinand Lancien,19800035/77/9588,13434140c
Ferdinand de Dartein,LH/664/15,159913935
Fernand Mazade,19800035/307/41396,12156751x
Aristide Croisy,LH/632/76,149720722
Aristide Vallon,LH/2670/3,153814591
Armand François Lamy,LH/1463/24,13268578d
Armand Durantin,LH/870/62,10738063t | 14318430d
Armand Leleux,LH/1571/32,14908217g
Arthur Constantin Krebs,LH/1408/47,153680952
Arthur Hugenschmidt,19800035/387/51916,10603245f
Arthur Mugnier,19800035/193/25133,12327747n
Arthur de Beauplan,LH/2402/8,145430302
Ary Renan,LH/2294/45,132056792
Auguste-Guillaume Taupier,LH/2572/1,102928033
Auguste Bella,LH/168/59,10299873z
Auguste Calvet,LH/411/65,11813456b
Auguste Gauvain,LH/1099/43,12768819f
Auguste Gervais,LH/1125/66,12449218r
Auguste François-Marie de Colbert-Chabanais,LH/2782/80,10011593t
Auguste Himly,LH/1301/34,121623810
Auguste Pinloche,19800035/207/27107,12122045g
Auguste Pointelin,LH/2187/12,14923923j
Auguste Suchetet,19800035/251/33492,14935389h
Auguste Véron,LH/2701/2,10665333f
Augustin Hacquard,LH/1256/80,13744322q
Baptiste-Marie Jacob,LH/1338/40,10549583x
Blanche Odin,19800035/742/84285,12526540s
Brada,LH/2244/53,12728865s | 17090441p
Camille Ragueneau,19800035/228/30237,11322722z
Camille Sée,LH/2491/24,132122098
Casimir Bonjour,LH/281/19,12482041v
Charles Aubry,LH/67/72,11889434x
Charles Auguste Pellat,LH/2083/68,105912371
Charles Bontemps,LH/291/50,10427784r
Charles Brasart,19800035/1036/19507,11498400w
Charles Brun,LH/380/8,10735278p
Charles Capéran,LH/421/32,13210088c
Charles Champoiseau,LH/476/51,10521950q
Charles Courtin,LH/615/64,10522727w
Charles Eudes Bonin,LH/280/52,153830195
Charles Frémicourt,19800035/871/2374,104994678
Charles Guillemaut,LH/1237/10,15325431c
Charles III Brault,LH/353/16,12561726d
Charles Joseph de Pully,LH/2265/51,135563509
Charles Le Peletier d'Aunay,LH/1594/63,13209789m
Charles Lemercier de Longpré,LH/1579/8,13603020z
Charles Mauron,19800035/698/79713,11915272p
Charles Mazelin,19800035/974/12926,14959859b
Charles Poncy,LH/2196/49,13480712v
Charles Sergent,19800035/47/5837,17705303d
Charles-François Verd de Saint-Julien,LH/2686/60,10710569x | 13297634f
Charles Wiener,LH/2756/34,12744529j
Charles des Isnards,19800035/586/66461,16137727f
Charles Étienne Conti,LH/584/12,10466154r
Claude-Jean-Joseph Brulley de La Brunière,LH/379/59,11664037w
Claude-Jean-Joseph Brulley de La Brunière,LH/379/60,11664037w
Claude Philippe Viville,LH/2735/16,12523593n
Paul Bonet,19800035/1077/23874,11892733x
Corentin Guyho,LH/1251/67,10711694n
Fernand de Saintignon,LH/2443/54,106550531
Fleury Marius Seive,19800035/1119/28149,15150719d
Florent Fels,19800035/1472/70544,12766355f
Florent Guillain,LH/1233/1,132107540
Franciade Fleurus Duvivier,LH/887/9,149534720
Francis Le Basser,19800035/1240/43130,134358020
Francis de Pressensé,LH/691/15,12463218q
Vincent Scotto,19800035/47/5791,13899603p
François-Augustin Delamare,LH/699/32,10725603p
François-Xavier Donzelot,LH/790/48,131848686
François-Xavier Lesbre,19800035/223/29453,13006120x
François Antoine Teste,LH/2580/36,135309356
François Joseph Gérard,LH/1118/39,132614444
François Joseph Pamphile de Lacroix,LH/1428/42,125247803
François Joseph d'Estienne de Chaussegros de Lery,LH/508/30,15143139w
François Marie Sébastien Pageot,LH/2033/36,16693258g
François Picavet,LH/2146/35,11919663s
François Pierre-Alype,19800035/226/29901,12902933x
François René Cailloux,LH/407/90,107025487
François Roguet,LH/2368/49,16168665k
François Roguet,LH/2368/56,16168665k
François Simiand,19800035/1290/49181,12301152q
Félix Lasserre,19800035/648/74720,16728887n
Frédéric-Georges Herr,LH/1294/65,16500213r
Raoul Got,19800035/150/19166,167066876
Frédéric Bataille,19800035/166/21270,12337849t
Félix Biet,LH/236/2,156729965
Félix Galipaux,19800035/263/35140,121148798
Félix Narjoux,LH/1975/38,12740296w
Félix Renaud,LH/2296/34,13381231t
Félix Voisin,LH/2736/85,13383016v
Gabriel Adrien Marie Poissonnier Desperrières,LH/2190/22,10743227h
Gabriel Brunet de Sairigné,19800035/8/915,12160875z
Gabriel Cochet,19800035/1212/39851,121466356
Gabriel Marcel,LH/1725/27,12130432z
Pierre Renouvin,19800035/1230/41818,11921578t
Gaston Bourret,LH/334/26,13395642r
Gaston Ravel,19800035/123/15513,146967240
André Fribourg,LH/1037/98,12198550b
Georges André-Fribourg,LH/1037/98,12198550b
Georges Chevrot,19800035/134/16949,11896663j
Georges Cretté,19800035/989/14531,14884535r
Georges Duplessis,LH/1192/64,11901191h
Georges Hardy,19800035/1195/38203,12285968r
Georges Hoentschel,LH/1304/84,13547122j
Georges Hérelle,LH/1291/50,137437724 | 16506424d
Georges Maurice Jean Blanchard,19800035/195/25529,157130407
Georges Moreau de Tours,LH/1928/21,14916733t
Georges Philippar,19800035/284/38049,104812427
Georges Sabbagh,LH/2428/47,11943825z
Georges Villa,19800035/787/88941,149779555
Georges d'Espagnat,19800035/1289/48975,149734445
Gervais,LH/178/69,118316633
Guillaume Bonnet,LH/288/2,13519478v
Guillaume Grégoire de Roulhac,LH/2397/50,14955464v
Gustave Guiches,19800035/167/21535,121158158
Gustave Laurent,LH/1500/7,12528770r
Gustave Macon,LH/1681/76,103197480
Gustave Maincent,LH/1696/8,149116293
Gustave Pédoya,LH/2079/74,10722723v
Gustave Roussy,19800035/44/5510,12282387n
Guy-Charles Cros,19800035/300/40372,12070625w
Guy Menant,19800035/880/3238,12738137t
"Jean, René, Guillaume De Boisclaireau",LH/1222/74,10731617m
Nicolas Charles Tronchon,LH/2633/5,149560400
Charles-Bruno Francoville,LH/1029/18,10629382s
Abraham Leseigneur,LH/1613/52,10631672k
Joseph-Marie Pavy,LH/2074/28,106982894
Pierre Honoré Marie de Roux,LH/2413/17,10739958z
Charles Schlumberger,LH/2481/1,10726654t
"Jacques, Germain Simon",LH/2521/52,125227004
Gabriel Louis François Anaclet Morel,LH/1932/48,150556582
Pierre-Anselme Garrau,LH/1080/6,12459983b
Henri Berthelier,LH/209/37,14793358n
François Merry Delabost,LH/694/9,121224985
François d'Avrange d'Haugéranville,LH/675/46,16297401b
François d'Avrange d'Haugéranville,LH/675/47,16297401b
Frédéric Febvre,LH/951/24,162166417
Félix Cordoën,LH/589/93,106590054
Félix Coquereau,LH/586/72,103904897
Gaspard François Forestier,LH/997/95,12233321x
Georges Forestier,LH/997/85,16575770m
Henri-Auguste-Georges de La Rochejaquelein,LH/885/58,134844318
Henri Biva,LH/246/1,149698377
Henri Hertz,19800035/883/3596,12612843n
Henri Jean Bonnier,LH/290/19,13394141s
Henri Mazel,19800035/559/63732,12150285d
Henri Quentin,19800035/1234/42380,146405390
Henri Ramet,19800035/237/31470,120589435
Henry Cros,LH/633/59,12084599b
Henry Hébrard de Villeneuve,LH/1275/78,106518209
Hervé Mangon,LH/1717/51,12545299s
Hippolyte Maindron,LH/1696/10,14911633b
Hubert de Bazelaire de Lesseux,LH/150/42,177523898
Hyacinthe-Joseph Jalabert,LH/1349/25,16646672t
Isaac Strauss,LH/2554/43,14802592f
Jacques Beltrand,19800035/1416/63730,118911153
Jacques Bounin,19800035/1439/66523,118933510
Jacques François Lepitre,LH/1597/51,121096771
Jacques Guérard,19800035/1471/70394,11064981t
Jacques Heim,19800035/915/6838,140564547
Jacques Julien Margottin,LH/1738/4,150119196
Jacques Lacour-Gayet,19800035/792/89554,12471480d
Jacques de Maleville,LH/1705/25,13488810c
Jean-Adolphe Beaucé,LH/152/63,118907652
Jean-Baptiste-Marie-Augustin Gourbeyre,LH/1178/46,10742560x
Jean-Baptiste Prosper Jollois,LH/1370/61,12736337w
Jean-François Henrion-Bertier,LH/1284/49,16621862f
Jean-François Joseph Lecointe,LH/1534/9,14961841j
Jean-Gabriel Domergue,19800035/379/50929,12902764n
Jean-Pierre Ramel,LH/2263/50,12466630d
Jean Antoine Armand Vergeaud,19800035/796/90136,131725064
Jean Baptiste François René Koehler,LH/1405/40,102763963
Jean Bosler,19800035/1212/39866,130775870
Jean Béguin-Billecocq,19800035/1396/61418,12237086n
Jean Chaigneau,19800035/62/7567,161021676
Jean Coraboeuf,19800035/1463/69139,13541214r
Jean Fayeton,19800035/944/9866,10896777c
Jean Frélaut,19800035/70/8622,11903535m
Jean Grenier,LH/1198/31,12462029k
Jean Le Cour-Grandmaison,19800035/1240/43122,119115627
Jean Marchat,19800035/696/79600,140200302
Jean du Pouget de Nadaillac,19800035/847/96963,170676043
Cyrille Bissette,LH/245/37,12181394h
Cyrille Souillart,LH/2538/51,106234531
Daniel Serruys,19800035/46/5739,108368762
Louis Süe,19800035/1295/49770,12006302d
Denis Foyatier,LH/1020/61,12333047z
Denis Henri Alfred d'Amboix de Larbont,LH/29/10,14524147w
François Reste de Roca,19800035/1352/56610,12788722g
François-Joseph Reste de Roca,19800035/1352/56610,12788722g
Désiré Ferry,LH/964/10,11801147v
Edgar Demange,LH/723/73,14886707j
Edmond Blanc,LH/248/94,14875435h
Edmond Charlemagne,LH/490/23,13012329t
Edmond Lanier,19800035/1246/43785,11473895w
Emile Haumant,19800035/203/26532,129920219
Ernest Boulanger,LH/315/85,125119080
Ernest Gugenheim,19800035/1473/70637,119062287
Ernest Hamel,LH/1261/54,120739332
Ernest Henri Dubois,LH/811/65,14973124q
Ernest Matet,19800035/421/56296,14622454p
Ernest Michel,LH/1864/46,10739819s
Ernest Munier-Chalmas,LH/1966/38,10729536b
Ernest Nivet,19800035/1485/72661,12015042s
Ernest Pascal,LH/2059/46,107455959
Ernest Petit,LH/2125/28,119193858
Eugène-Baptiste Emile Dauphin,19800035/165/21136,14885577x
Eugène Bonnier,LH/290/21,15363911g
Eugène Eschassériaux,LH/903/20,13569865n
Eugène François Deshayes,19800035/460/61584,122356217
Eugène II Schneider,LH/2477/43,13480835s
Eugène Jamot,19800035/843/96516,120694526
Eugène Lemercier,19800035/739/83968,148257072
Eugène Pirou,LH/2172/3,14978010z
Eugène de Rozière,LH/2422/24,12560040s
Ferdinand-Pierre-Marie-Dorothée Guillemardet,LH/2786/117,12449545g
Ferdinand Denis,LH/731/78,11899586n
Fernand Sabatté,19800035/1393/61024,10720807d
Francis Merlant,19800035/558/63623,104066886
François-Raoul Larche,LH/1481/49,16983936d
François Antoine Vizzavona,19800035/346/46584,14144292q
François Doumergue,19800035/214/28058,13742936k
François Décorchemont,19800035/1066/22739,123314180
François Ernest Fournier,LH/1016/12,107083364
François Hébrard,19800035/1054/21411,11113045c
François-René Boullaire,19800035/58/7143,11137669d
François Sommer,19800035/1162/33054,12797518n
Félix Fournier,LH/1016/2,13624724x
Gabriel Koenigs,19800035/235/31105,12554696t
Gabriel Le Bras,19800035/1014/17171,11911529d
Gaston Simoes de Fonseca,19800035/1327/53759,149664153
Georges-Armand Masson,19800035/1473/70604,11915019p
Georges-Auguste Florentin,C/0/35,10696766c
Georges Baillet,19800035/165/21217,14667662w
Georges Chabot,19800035/1333/54511,122910090
Georges Gromort,19800035/444/59494,123787515
Georges Guigue,19800035/295/39681,12156323k
Georges Leredu,19800035/306/41186,103614786
Georges Parcheminey,19800035/35/4457,112708009
Georges Pavis,19800035/1430/65526,149605226
Georges Piquand,19800035/804/91297,119199043
Georges Raviart,19800035/766/86962,106077495
Georges Weill,19800035/760/86262,12134959b
Germain Bapst,LH/102/34,10933429w
Germaine Dermoz,19800035/681/78039,146537562
Gilles Margaritis,19800035/651/75068,14655200j
Gustave Doussain,19800035/1304/50598Bis,11104172k
François Albert,LH/15/53,110428553
François Anthoine de Saint-Joseph,LH/41/94,10728738b
François Bécherel,LH/160/15,12523604g
François Daugier,LH/74/92,12553398f
François-Henri-Eugène d'Augier,LH/74/92,12553398f
François Fabié,LH/919/51,126048924
François Henri Allain-Targé,LH/20/58,11043066s
François René Jean de Pommereul,LH/2194/22,119202104
Paul Henri Fischer,LH/976/69,12420127v
Frédéric Delebecque,LH/709/5,11199126g
Fulbert Petit,LH/2122/39,15041231r
Félix Decori,LH/684/16,13191269c
Félix Le Dantec,LH/1541/24,12174264t
Félix Léon Edoux,LH/891/19,10214321g
Gabriel Fabre,LH/919/55,10725685v
Gabriel Ferrier,LH/962/36,149738041
Henri Chantavoine,LH/481/17,12726957z
Georges-Évariste Colombel,LH/572/68,132442964
Georges Albert Bazaine-Hayter,LH/150/17,129554590
Georges Chalandon,LH/469/61,107362856
Georges Dubosc,LH/815/4,11900819g
Georges Frédéric Dentzel,LH/734/29,125245033
Georges Ville,LH/2718/7,107300469
Gervais de La Rue,LH/703/65,12729041t
Gilles Porcher de Lissonay,LH/2200/72,12528920r | 149551583
Louis Decazes,LH/682/8,132102491
"Louis, duc de Decazes",LH/682/8,132102491
Godefroy Redon de Belleville,LH/2282/76,10720692x
Gustave Foëx,LH/988/53,132018111
Gustave Lyon,LH/1678/64,14851812k
Gustave Vapereau,LH/2674/43,121071535
Gustave Émile Boissonade,LH/272/76,11892617d
Hector Franchomme,19800035/234/31087,165421144
Hector d'Espouy,19800035/140/17732,10433554h
Henri-Auguste-Jules Patey,19800035/249/33164,14849975g
Henri-Frédéric Simon,19800035/310/41725,10557997f
Henri-Georges Jeanne,LH/1361/74,11913918b
Henri-Louis-Philippe Mougin,LH/1948/69,130110241
Henri Baulig,19800035/435/58196,15337304w
Henri Brispot,19800035/189/24586,149615720
Henri Charrier,19800035/215/28223,14971528q
Henri Colin,19800035/102/12866,113265064
Henri François Marie Charpentier,LH/494/18,165326505
Henri Frédéric Paul Gervais,LH/1125/52,13084970v
Henri Gisquet,LH/1153/22,10310711g
Henri Hoppenot,19800035/1473/70645,13178360t
Henri Lebocq,19800035/23/2876,14429314h
Henri Massis,19800035/1016/17450,12027398x
Henri Mettrier,19800035/1479/71671,107203505
Henri Pognon,19800035/259/34468,12427635j
Henri Prost,19800035/295/39720,14433555d
Henri Ribière,19800035/229/30290,109774437
Henri Royer,19800035/1320/52815,14929369n
Jacques Nam,19800035/1239/43054,14843618c
Jacques des Gachons,19800035/1214/40197,130919187
Jean Caire,19800035/157/20131,15086501p
Jean Leune,19800035/621/70945,127446948
Henri-Pierre Delaage,LH/693/56,17721318w
Henri Collin,LH/569/30,119527516
Henri Cosnier,LH/597/13,17045107v
Henri Ding,LH/778/49,102136739
Henri Jolicoeur,LH/1369/77,10651959m
Henri Lepage,LH/1593/5,12156086n
Henri Massé,19800035/977/13268,119149800
Henri Rendu,LH/2300/6,123370039
Henri Reymond,LH/2310/12,12000795w
Henri Rottembourg,LH/2387/47,17153647c
Henri Streicher,19800035/764/86823,10740674d
Henri Woollett,19800035/759/86106,14810112k
Henri Zuber,LH/2770/14,12010841f
Henri de Parville,LH/2132/4,11918676w
Henry Barbet,LH/107/74,10261715z
Henry Marcel,LH/1725/28,13006822j
Henry du Buit,LH/818/53,11779223b
Hippolyte Auguste Marinoni,LH/1743/21,107390423
Hippolyte Lazerges,LH/1509/95,121805955
Honoré d'Albert de Luynes,LH/15/52,17047027p
Horace Lecoq de Boisbaudran,LH/1537/41,124600607
Hugues Alexandre Joseph Meunier,LH/1852/1,134842024
Hugues Brisset de Montbrun de Pomarède,LH/1916/57,10620171d
Hyacinthe Richaud,LH/2324/12,10482988q
Irénée Carré,LH/433/71,121939131
Jacques-Marie de Cavaignac,LH/453/103,124595043
Jacques-Émile Lafon,LH/1435/46,151263194
Jacques Alexandre Bixio,LH/246/9,137368211
Jacques Charles Hyacinthe Brierre,LH/364/84,17798043d
Jacques Hilpert,19800035/74/9186,13342948w
Jacques Hippolyte Sylvestre Blanc,LH/249/10,122767896
Jacques Replat,LH/2302/71,106889902
Jacques de Lesseps,LH/1616/87,111831333
Jean-Baptiste Bompard,LH/276/29,169898597
Jean-Baptiste Collin de Sussy,LH/570/34,106947797
Jean-Baptiste Duvoisin,LH/887/33,12151252p
Jean-Baptiste Gélineau,LH/1106/59,13477167z
Jean-Baptiste Joseph Tyrbas de Chamberet,LH/2640/27,13772580k
Jean-Baptiste Sébastien Krantz,LH/1408/24,153430258
Jean-Charles Persil,LH/2116/51,127677475
Jean-François Borson,LH/299/49,15309096d
Jean-François Bougenel,LH/311/72,15431560n
Jean-Irénée Depéry,LH/735/23,128154230
Jean-Joseph Sue,LH/2556/76,10729888d
Jean-Jules Allasseur,LH/22/22,15515399v
Jean-Marie Degoutte,LH/689/77,16208611k
Jean-Marie Joseph Emmery,LH/896/46,10615996z
Jean-Pierre Maransin,LH/1722/62,12237417x
Jean-Xavier Bureau de Pusy,LH/394/18,125097232
Jean Baptiste Émile Vidal,LH/2706/47,107037032
Jean Baradez,19800035/964/11874,12902408b
Jean Bozérian,LH/1363/29,13210032r
Jean César Graziani,LH/1194/50,16740667z
Jean François Philibert Rossée,LH/2383/85,12520211x
Jean Irigoin,19800035/908/6145,119082668
Jean Laforgue,LH/1437/75,114737859
Jean Laigret,19800035/692/79122,10828786c
Jean Marcellin,LH/1725/63,12296835z
Gabriel Maunoury,LH/1799/26,14589021c
Edmond Chapuis,LH/485/84,10495930b
Roger Firino,LH/976/13,135405897
Auguste Dariste,LH/661/62,11849784g
Eugène Leffet,LH/1551/10,13211226m
Jules Jaeger,19800035/739/83960,16569737j
Auguste Napoléon Parandier,LH/2048/19,15365469w
Paul-Pierre Henry,LH/1288/3,14977559f
Arthur Ballue,LH/100/5,102991642
Joseph Petitjean,19800035/329/44365,16564215n
Jules Peulvé,LH/2132/30,13088831n
Théodore Jung,LH/1391/2,125154700
Paul Ruinard,19800035/806/91543,149776033
Jean-Charles Abbatucci,LH/1/74,10461367f
Pierre Mortier,19800035/86/10762,143116308
Pierre Genty de Bussy,LH/1113/45,13166043q
Joseph d'Ailhaud de Brisis,LH/12/22,133850886
Blaise Cavellier,LH/455/53,12532314x
Joseph Désiré Félix Faure,LH/941/57,11934933w
Étienne de Cambacérès,LH/412/9,113323400
Barthélémy Thomas Strafforello,LH/2554/17,10741851j
Louis Arnauldet,LH/54/20,15537991n
Adolphe de Bellonet,LH/173/31,165901151
Gustave de Chassiron,LH/501/2,10732944k
Jean Firmin Darnaud,LH/662/10,10348188z
Laurent Cotelle,LH/600/52,10735328d
Pèdre Lacaze,LH/1422/37,107096397
Jean Belliard,LH/172/11,11780384v
Joseph-Marie Desmars,LH/751/56,10546025n
Jean-Baptiste Josseau,LH/1375/38,107275821
François Bachimont,LH/87/40,13387905n
Edmond Bartissol,LH/128/75,13605480d
Émile Broussais,19800035/176/22737,13753271m
Jean Dodat,19800035/461/61652,16563860w
Charles Dorian,LH/792/45,15330131j
Félix Gaborit,19800035/1280/47641,15795796x
Gaston Guillemet,LH/1237/29,10436948d
Jules Leveillé,LH/1625/62,12389700q
François Mayjuron Sclafer de Lagorsse,LH/1809/27,12335451s
Jean Peyret,19800035/1316/52300,10250763c
Hyacinthe Clément Justin Coquet,LH/586/105,15857733v
Idelphonse Favé,LH/945/42,13486599n
Jacques-Charles Bailleul,LH/92/56,124621364
Jacques Defermon,LH/686/70,124495982
Jacques Faget de Baure,LH/924/46,133399878
Jean-Baptiste Adolphe Charras,LH/495/67,12554744v
Jean-Baptiste-Adolphe Charras,LH/495/67,12554744v
